,createTime,textExtra_en,desc_en
26,2023-06-02 18:22:36,Republic Day,"Long live a democratic, free, sovereign Italy. Long live the Italy that wants to grow, innovate, amaze. Long live Italy that wants to return to being a protagonist in the world. Thanks to all the men and women who make this nation great every day🇮🇹 #FestadellaRepubblica"
27,2023-06-01 14:30:32,,"Chisinau, Moldova: my speech in the plenary session at the Second Summit of the European Political Community."
28,2023-05-30 12:56:53,,"Believing in what we are is the most powerful fuel we can put in the nation's engine. It is the fuel we need to chart new routes and become protagonists again in Italy and in the world. Extract from the video message at the conference “Nazione e Patria. Rediscovered ideas”, which you can find complete on my Facebook-Twitter profiles."
29,2023-05-29 16:45:44,,"The center-right wins these administrative elections and confirms its consensus among Italians, its roots and its strength. My best wishes to all the mayors for good work."
30,2023-05-26 19:03:50,,Thanks Catania!
31,2023-05-21 20:01:47,Emilia Romagna,"Today in #EmiliaRomagna to see for yourself the difficult situation this land finds itself in. The task of the Government and the State, in addition to the incredible work of the Civil Protection, the Police Forces, the Armed Forces, the Fire Brigade and the Coast Guard, is to guarantee immediate responses. The first resources will be for the emergency and for all the measures necessary to exempt companies and citizens from paying taxes. We will then need to work on compensation and reconstruction: for this reason a complete estimate and simplification of procedures will first be necessary. We are ready to do our part."
32,2023-05-21 10:11:33,"g7, hiroshima","The #G7 Summit in #Hiroshima, Japan was very intense. With the other Heads of State and Government I spent two days marked by many discussion sessions and bilateral meetings, which allowed us to address many crucial issues of our time. A very significant moment was the laying of a wreath at the Hiroshima Peace Memorial, where I paid my honors and due respect to the victims of the atomic bomb in World War II. I thank Japanese Prime Minister Fumio Kishida for the determination and seriousness with which he organized this important Summit and for managing a presidency in a difficult context. Next year it will be Italy's turn to host the G7, and we will do so in Puglia, a region symbolizing the meeting between West and East. It is a great responsibility for Italy, but we will be up to the task. We continue to work together, in the unity of all members, demonstrating that the G7 is strong and determined, ready to face present and future challenges, for international peace and security and for our Nations."
33,2023-05-18 11:17:32,,"I thank Japanese Prime Minister Fumio Kishida for the warm welcome on the eve of the G7 Summit in Hiroshima. I am very happy with our Strategic Partnership which is allowing us to intensify our collaboration. We are united in our commitment to a rules-based international order, peace and stability, from science and technology to industrial cooperation and security."
34,2023-05-17 10:11:27,,"In connection with the Civil Protection Operational Committee chaired by Minister Musumeci and the president of the Emilia-Romagna Region, Stefano Bonaccini. The Government is ready to do its part, with emergency measures, to deal with the emergency and help citizens affected by the bad weather."
35,2023-05-15 06:23:25,alpines,The National Gathering of the #Alpini is one of the most extraordinary representations of what love of country is. Thanks for the welcome.
36,2023-05-12 18:34:35,parents,"Our history is not one of melancholy, but of great feats, creativity and results that have impressed the world. That is the Italy we want to live in again. We want to give back to Italians the certainty and pride of living in a nation capable of looking to the future, where people want to do and realize themselves. A nation in which we rediscover the beauty of becoming #parents"
37,2023-05-11 06:32:59,,"Energy, immigration, defense: these are just some of the topics I addressed during my mission to Prague with Prime Minister Petr Fiala. There is extreme dynamism and trust in the relations between Italy and the Czech Republic, and we intend to continue to strengthen them."
38,2023-05-10 08:18:03,,"The day of dialogue with the opposition parliamentary forces was fruitful. The instability of Italian politics has caused damage to our nation, which is why I hope for the widest possible sharing for institutional reforms. We are ready to continue this path and keep the commitments made to the citizens."
39,2023-05-01 13:52:39,,May 1st: the Government celebrates with facts. Even today at work to improve the conditions of workers.
40,2023-04-29 07:37:37,,"The mission to the United Kingdom was a success. The Memorandum of Understanding, which we signed with Prime Minister Rishi Sunak, represents a great achievement and crowns the excellent state of relations between our Nations. Italy and the United Kingdom are ready to actively collaborate to achieve common objectives."
41,2023-04-27 19:59:27,,"On the Def we will keep our commitments within the set times, continuing to work to be able to provide concrete solutions to Italians."
42,2023-04-18 19:19:38,,"The quality of Italian products is the most precious thing we have. At the Salone del Mobile in Milan I explained what we intend to do to enhance our excellence: from the fight against counterfeiting, with protection of patents and trademarks, to tools to help small and medium-sized businesses grow and the topic of training and competence. We defend the Italian brand and our companies."
43,2023-04-15 20:13:16,,"An extremely emotional meeting with the children of the Italian “Galileo Galilei” school in Addis Ababa, Ethiopia. Thank you for your love. Always continue to believe in yourself and no one will ever be able to stop you."
44,2023-04-15 18:12:09,,"The results of the mission in Ethiopia are excellent. There is a great desire for Italy and particular attention to our ability to cooperate in a non-predatory way, contributing to the stability of African nations, thus also defending our companies in the area and combating illegal immigration and its causes."
45,2023-04-12 20:25:36,always be there,"At the Pincio terrace, in Rome, to celebrate, together with the women and men of the State Police, the 171 years of their foundation. Italy is grateful and grateful for your daily commitment to defending legality and security. Thank you for #alwaysbeing there and best wishes."
46,2023-04-12 07:41:25,,"A bill has been approved in the Council of Ministers to combat the increasingly frequent phenomena of vandalism affecting our cultural and landscape assets, adding administrative sanctions to criminal ones. Anyone who damages our artistic heritage cannot and must not get away with it."
47,2023-04-06 19:05:32,,"Fight against drought, research and safety: important news and government measures in the Council of Ministers"
48,2023-04-03 18:17:10,vinitaly,"The agri-food sector and the wine sector in particular represent the perfect synthesis between economy, work, health, culture, history and environment. I couldn't miss this edition of #Vinitaly, which had a massive presence of the Government. It is a sign of attention that we wanted to give to this world."
49,2023-03-31 18:56:58,giorgia's notes,Investments in healthcare and strengthening of emergency rooms: here is the first part of an overall reform that we want to make so that citizens can trust Italian public hospitals again. #gliappuntidigiorgia
50,2023-03-31 17:38:24,,"Despite the difficult moment that Italy and Europe face, over 100,000 new jobs have been created. Excellent news that pushes us to always do better."
51,2023-03-28 17:05:56,,Serving the Nation for 100 years. Best wishes to the Air Force 🇮🇹
52,2023-03-28 13:34:47,,"Lots of enthusiasm and participation today at the Air Force Centenary ceremony, which demonstrates a great feeling of homeland ✈️🇮🇹"
53,2023-03-17 13:14:53,,Today at the CGIL Congress to vindicate the Government's actions and to reiterate that the strength of ideas does not fear comparison.
54,2023-03-16 14:01:40,,Whoever has governed until now has made Italian workers poorer and this Government will do everything possible to reverse the trend.
55,2023-03-15 20:54:21,,"In the ecological transition process, the objective is to deliver a cleaner planet to the new generations, freeing ourselves from polluting means but without devastating our production system and creating more unemployed."
56,2023-03-15 18:22:50,,"We do not intend to bow to the many powerful pressures of those who would like to impose the ideological vision of a world without national borders. Italy and Europe can no longer remain under the blackmail of unscrupulous smugglers, who use migrants as human shields for their trafficking, nor allow these criminals to decide who can arrive on our shores and who cannot. We will move forward on this because it is the only way to stop deaths at sea, protect the weakest and guarantee safety"
57,2023-03-09 19:13:12,,We do not intend to replicate the approach of those who have let human traffickers operate undisturbed. Our response against these criminal smugglers will be even more firm and determined.
58,2023-03-07 14:49:45,,"The point is not what role others have decided for you, the point is whether you accept it: this must make the difference. Always. Today I spoke at the presentation of the new layout of the Women's Room at the Chamber of Deputies, in view of March 8th."
59,2023-03-04 19:29:39,,I have heard and read some frankly surreal reconstructions about the Cutro tragedy. I'll explain what happened and what the Government intends to do. Listen.
60,2023-03-03 06:27:10,,"It was an honor for me to inaugurate this year's Raisina Dialogue, and to do so in front of such an extraordinary audience. An audience that includes representatives from across the G20, with whom Italy shares a special responsibility to find solutions to our common global challenges. We are weathering a terrible storm that is making it difficult for our ships to navigate. But now we can make a difference."
61,2023-03-02 20:12:19,,"I thank Prime Minister Narendra Modi for the wonderful welcome in India. A trip that coincides with the 75th Anniversary of bilateral relations between our Nations, which we have elevated to Strategic Partnership."
62,2023-03-01 17:03:31,,"On 1 March 1961 the National Acrobatic Team was born in Rivolto. Since then, the Frecce Tricolori of the Italian Air Force have been flying over our skies with extraordinary aerobatics. Symbol of our national unity and identity, they represent an all-Italian pride. Best wishes 🇮🇹"
63,2023-02-28 17:17:52,,The only way to prevent further tragedies at sea and stop unscrupulous smugglers and traffickers? Block departures.
64,2023-02-27 20:12:23,,"Good evening. I present to you my interview from a little while ago with Bruno Vespa on ""Cinque Minuti""."
65,2023-02-20 15:33:02,giorgia's notes,"The era in which the State turns the other way on the legality front is over: for this reason, among the many operations on the topic, the Government has started its battle against illegal occupations. Here are some facts #gliappuntidigiorgia"
66,2023-02-19 18:32:15,,Building bonuses: here are the Government's measures.
67,2023-02-10 18:59:20,,"Palazzo Chigi, today. In memory of the Martyrs of the Foibe and the exiles of Istria, Fiume and Dalmatia."
68,2023-02-10 16:55:28,,"I am very happy with the results obtained by Italy in this European Council. There were those who thought that Italian foreign policy consisted only of getting pats on the back, whereas today we have demonstrated that the interests of the nation have international relevance. First of all on the topic of migrants, where a very important principle that will change the approach has finally been put down in black and white: immigration is an EU problem and needs an EU response."
69,2023-02-09 10:44:06,,Press point in Brussels for the extraordinary European Council.
70,2023-01-31 20:04:40,,100 shares in 100 days
71,2023-01-17 19:44:01,,"Behind the arrest of Matteo Messina Denaro there are brave men and women who worked every day giving up so much of their lives and who deserve gratitude and respect. When the State wins against organized crime we must be happy, because it means that the mafia can be defeated."
72,2023-01-16 17:01:08,,"Today is a day of celebration for women and men who, silently, 7 days a week, 365 days a year dedicate their lives to the fight against the mafia. I want to tell them that they can count on the Government's measures to carry on this battle together."
73,2023-01-16 13:36:28,,A beautiful day for all of Italy. The nation is proud of you.
74,2023-01-13 17:19:55,,"With determination and with our heads held high, we will revive Italy. Together."
75,2023-01-12 21:15:08,,My interview this evening on Tg5. Here you can see it again.
76,2023-01-11 21:45:57,,"For several days some commentators and opposition members have been saying that the price of petrol would reach €2.50. However, the data tells us that this is not the case. Let's discover them together."
77,2023-01-11 18:59:22,,Petrol costs: here are the Government's interventions to counter possible speculation.
78,2023-01-03 08:30:45,giorgia's notes,Illegal immigration and human trafficking: the end of Italy that attacks those who respect the rules and pretends not to see those who systematically violate them. #gliappuntidigiorgia
79,2023-01-01 13:05:57,,"To you, to your families, happy 2023."
80,2022-12-30 12:14:16,,"Jobs are created by companies and the State cannot eradicate poverty by decree. We are working to put Italian companies in a position to hire, thus promoting the growth of the entire nation. It is our commitment."
81,2022-12-30 09:52:49,,"On Covid, the restrictive model adopted in the past did not work, as we are also seeing in China. My idea is that we need to work on empowering citizens and on prevention, rather than on the deprivation of freedoms. And I intend to continue like this in the future too."
82,2022-12-23 15:53:10,,"In Erbil, to bring the nation's thanks to the Italian soldiers who carry out their work every day with a great spirit of self-sacrifice and sacrifice. Furthermore, I am truly grateful for the gifts with which they honored me: the Tricolor with the signatures of all the soldiers present and the magnificent mosaic of my image in which each card is made up of photographs of the Italian soldiers of the contingent in Iraq. An immense honor."
83,2022-12-23 11:40:32,,"In Iraq to meet the Italian military contingent and send them our gratitude and Christmas greetings. Thanks to Major General Iannucci and the soldiers who gave me the camouflage and thanks to Marshal Meloni for giving me the tag with his (and my) surname, which I wore with immense pride."
84,2022-12-19 19:45:51,,The agreement reached in Europe on the gas price cap is a great victory for Italy.
85,2022-12-19 09:03:15,,This video was shot 5 years ago. But I haven't changed my mind and so I'll tell you again. It is still the time of the Nativity scene revolution.
86,2022-12-17 17:01:42,,"Thank you ❤️ Soon ""Giorgia's notes in the square"", live on my social channels."
87,2022-12-14 16:55:46,giorgia's notes,The Government's position on immigration always remains the same: Italy cannot be entered illegally. For the first time in Europe the topic is actually being addressed. We don't intend to give up. #gliappuntidigiorgia
88,2022-12-14 14:27:54,giorgia's notes,"Saturday, 5.30 pm, #gliappuntidigiorgia in Piazza del Popolo. Appointment in Rome for the event dedicated to 10 years of Fratelli d'Italia."
89,2022-12-13 15:38:06,,"In the past we have always wondered whether there should be more or less Europe in Italy. The objective of our Government, however, is for there to be more Italy in Europe, directing the latter towards a more attentive approach to the needs of citizens, families and businesses."
90,2022-12-12 17:40:37,giorgia's notes,"18app: after the specious controversies of recent days, I will explain to you what we will do and why we do not want to remove incentives from culture for young people, if anything improve them. #gliappuntidigiorgia"
91,2022-12-09 14:55:44,,"The touching words of the two carabinieri who escorted a one-year-old boy in cardiac arrest to hospital, stuck in traffic with his parents, saving his life. The emotion that shines through their testimony tells of the sense of duty and passion that many men and women in uniform use every day for the good of the community. Our gratitude to them."
92,2022-12-06 12:12:07,giorgia's notes,"Work can take you anywhere, while citizenship income leaves you where you are. And we have chosen to believe in Italy and Italians. #Giorgia'snotes"
93,2022-12-05 10:17:50,giorgia's notes,"Cash limit, fight against tax evasion and unfair competition. Everything you need to know about the Government's initiatives. #Giorgia'snotes"
94,2022-11-26 20:28:40,,"Today at the Civil Protection headquarters to receive updates and stay in contact with the operational offices that are providing aid in Ischia. I renew our gratitude to the institutions, which immediately mobilized, and to all the heroic rescuers who are working incessantly to help the populations affected by the bad weather."
95,2022-11-22 20:52:09,maneuver2023,#Maneuver2023
96,2022-11-15 14:34:09,g20indonesia,"Today and tomorrow in Bali to participate in the #G20Indonesia and important bilateral meetings. Faced with the challenges of our time, we need to dialogue and work together to find solutions to global crises."
97,2022-11-10 13:43:25,,"After intense diplomatic work, today our compatriot Alessia Piperno was released by the Iranian authorities and is preparing to return to Italy. I want to thank everyone who helped bring Alessia back to her family."
98,2022-11-09 12:40:31,,"The demolition of the Berlin Wall marks the decline of Soviet communism and, with it, of the totalitarian regimes that had dominated twentieth-century Europe. 33 years after that event, let's not forget the value of democracy and freedom, founding values ​​of our identity."
99,2022-11-06 09:54:18,,"Illegal raves: Italy is over, where some respect the rules and others don't."
100,2022-11-03 20:58:11,,"I wanted to organize this first Government visit to Brussels to give the signal of an Italy that wants to participate, collaborate and defend its national interest within the European dimension, bringing the best solutions together with other Nations on the great challenges we are facing ."
101,2022-11-02 13:37:47,,"Today the swearing-in of the Undersecretaries. The task entrusted to them will be difficult and full of obstacles, but I am sure that they will be ready to carry out it with seriousness, commitment and dedication. For the future of Italy and Italians."
102,2022-10-31 08:35:47,,"At the Altare della Patria, to lay a laurel wreath on the Tomb of the Unknown Soldier. We pay homage to all those who sacrificed their lives for the nation. A past to be honored and passed on to new generations, day after day, to build Italy's future together."
103,2022-10-25 12:22:57,,"At the end of this adventure, only one thing will interest me: knowing that we have done everything we could to give Italians a better nation. Rest assured that we will not give up, we will not retreat, and we will not betray."
104,2022-10-23 13:01:15,,It begins. With a lot of emotion but also with the awareness of the difficult challenges that await us. Now it's our turn: we are ready 🇮🇹
105,2022-10-22 08:24:39,,Oath at the Quirinale
106,2022-10-21 13:41:07,government,The centre-right delegation agreed with President Mattarella on the need to give the nation a new #Government in the shortest possible time. The entire coalition has indicated to the Head of State the undersigned for the formation of the new Executive. We are ready.
107,2022-10-21 09:09:45,,Statements after consultations with the President of the Republic
108,2022-10-10 12:51:33,Brothers of Italy,"Professionals, teachers, economists, representatives of the territories, administrators, men and women who will give heart and soul to defend the interests and rights of the Italian people. The #fratelliditalia team in Parliament is ready to give its all for the nation 🇮🇹"
109,2022-09-27 14:42:21,Brothers of Italy,Italy has chosen us and we will not betray it. #Brothers of Italy
110,2022-09-25 10:34:24,,September 25: I've said it all.
111,2022-09-25 06:51:33,,You know what to do
112,2022-09-23 21:32:32,votefdi,"Those who dream of a proud Italy, those who want to return to being proud of their nation, its people and its flag, choose Fratelli d'Italia on 25 September. We are ready: now is your time. #VoteFdI"
113,2022-09-23 20:11:41,south,"In the #South, as throughout Italy, there is a desire for real change. And we are ready to restore a future and hope to our land."
114,2022-09-23 18:23:22,,Now it's your turn
115,2022-09-23 10:52:45,"fratelliditalia, political elections2022","Favorable polls are nice but they shouldn't distract us: to win we must first complete the battles. On September 25th we need a great mobilization: we must all go and vote. The broader the consensus for #fratelliditalia, the less chance our adversaries will have of getting together after the 2022 #politicalelections to mess up and play palace games... bypassing, once again, the popular will."
116,2022-09-22 18:28:55,,Thanks Rome!
117,2022-09-22 17:59:59,,Piazza del Popolo (Rome) now. What a show!
118,2022-09-21 16:55:06,"fratelliditalia, hoax, photomontage","Do you know the latest one? Some exponents of the left and of the M5S, probably annoyed by yet another participatory square for #fratelliditalia, began to spread the ridiculous #hoax on social media that I had made a #photomontage of our demonstration in Palermo, spreading a simple image taken with a wide angle . Now who can explain to him that on my page there is, in addition to several photos, the live broadcast of my speech where the square packed with people was filmed for an hour? Evidently, it bothers some that Fratelli d'Italia has filled squares throughout Italy, from north to south. P.S. On this occasion we also dedicate these beautiful video images of the square to him 😘"
119,2022-09-21 14:40:56,,"Bologna, handmade tortellini lesson by Patrizia and Lisa: Italian excellence and local pride. What do you think, did I get away with it? I'll get better."
120,2022-09-21 08:56:37,usury,"Little is said about it, but in Italy there is a #usury emergency, a phenomenon that is crushing families and entrepreneurs. Here is our commitment to help those honest citizens who have fallen victim to criminal credit"
121,2022-09-20 12:18:42,votefdi,September 25th is approaching. You are ready? #VoteFdI
122,2022-09-20 07:30:09,,The same rules that exist on other media must apply on social networks. Freedom of speech and transparency in the management of our data cannot be questioned: we proposed it from the opposition and we will do it to the Government.
123,2022-09-19 07:16:10,Basic income,Supporting the most vulnerable and giving a prospect of work and well-being to everyone else: we will leave no one behind. Here's what we want to do with #citizenshipincome. Listen.
124,2022-09-18 17:14:41,,I have a complaint to make. Listen carefully…
125,2022-09-17 18:59:15,,At the rhythm of the square. Long live Bari
126,2022-09-17 18:42:04,,Postcard for Michele Emiliano. Thanks Bari ♥️
127,2022-09-17 13:22:40,votefdi,Ready to protect superbonus rights and improve construction subsidies. Always on the side of businesses and honest citizens who work hard to make Italy grow and improve. Here are the proposals of Fratelli d'Italia #votafdi
128,2022-09-17 10:34:26,votefdi,"Voting is simple: just cross the Fratelli d'Italia symbol. We are ready to lift Italy up, now it's your turn. #VoteFdI"
129,2022-09-17 07:25:23,Brothers of Italy,I will be clear once again: there is no possibility that #fratelliditalia will go to Government with the Democratic Party. We fight their hegemony of power and it certainly won't be absurd journalistic reconstructions that will change our minds.
130,2022-09-16 16:59:27,,Let's clarify (once again) our position regarding the law on abortion. Enough lies!
131,2022-09-15 10:27:08,,"The more the desperate attempt to demonize us continues, the more many free people will side with us. Thank you! ❤️"
132,2022-09-14 17:14:11,,Now in Genoa!
133,2022-09-14 15:03:52,,“Brothers of Italy has no strong personality for a future government” the left repeats daily. Their Foreign Minister in a very delicate phase for Italy and the world
134,2022-09-14 13:23:53,,"Right-wing government dangerous for voters? No dear Enrico, the only danger is for the power system of the left."
135,2022-09-14 09:24:03,,"Next September 25th, very little is needed to vote"
136,2022-09-13 18:19:59,,Thanks Turin!
137,2022-09-13 17:32:31,,Beautiful welcome in Turin
138,2022-09-11 22:54:29,"volleyball, italvolley",Phenomenal. Congratulations to the boys of the Italian #volleyball team for the great victory at the World Cup against Poland. Italy is proud of you!🏐🇮🇹 #italvolley [Rai images]
139,2022-09-11 08:07:25,"abortion, fratelliditalia",Our position on the law on #abortion. Enough falsehoods from the left against #fratelliditalia.
140,2022-09-10 17:23:50,,Thanks Mestre!
141,2022-09-10 16:25:02,,What a splendid square!
142,2022-09-09 14:08:49,,What a show yesterday in Florence for Fratelli d'Italia 🇮🇹
143,2022-09-09 07:51:31,,"Enrico, sleep peacefully."
144,2022-09-08 10:35:19,"energy crisis, bills, families, businesses, work","Ready to intervene on the cost of energy. We are in the midst of an #energy crisis, with #bills now unsustainable for #families and #businesses. Our entire productive fabric is in danger, with thousands of companies and #jobs at risk. We need to intervene immediately. Here are our proposals"
145,2022-09-07 16:58:57,,"Incredible: in the official PD program they talk about me. How can you present your proposals to Italians and talk about your opponents? It makes you laugh, but it also makes you think a little..."
146,2022-09-06 17:15:51,,Kenta you're right
147,2022-09-04 20:25:56,,"When I meet a cat, the cat lady instinct always takes over"
148,2022-09-04 07:10:57,,"They are afraid of our victory and are trying everything to stop us. But our shoulders are broad, because you are there to support us. On September 25th let's demonstrate together that there is no power stronger than that of the Italian people."
149,2022-09-01 18:16:51,,Thanks Perugia!
150,2022-09-01 17:18:15,,What a welcome here in Perugia!
151,2022-09-01 11:00:10,,"A just state cannot put those who can work and those who are unable to do so on the same level of welfare. A just state cannot tell our children to stay at home because there is no need for them. We desperately need the young people of our nation, we need to believe in them and make them believe in themselves. We will leave no one behind."
152,2022-09-01 07:19:51,,"We will continue to fight with all our strength so that Chico Forti can soon return to Italy. We owe it to him, to his daughter and to all his loved ones."
153,2022-08-31 17:31:00,,"Despite the rain, even in Pescara there were many people in the square listening to the programs of the Brothers of Italy to lift up the nation. Thank you!"
154,2022-08-31 09:13:06,,Our tour continues to talk about the Fratelli d'Italia programs. See you in Termoli and Pescara.
155,2022-08-30 18:31:06,Cosenza,Thank you #Cosenza!
156,2022-08-30 17:31:14,,Cosenza now! Follow the live broadcast on my Facebook page
157,2022-08-30 15:59:02,,"On the surface they seemed like pseudo-revolutionary daddy's boys intent on tearing up an electoral poster of the Brothers of Italy for fun. In reality, simply by playing the video backwards, they are some good guys who are hanging up a slightly bent poster of mine. Thanks guys, an example of education and respect towards others. On September 25th we will win for you too 😘"
158,2022-08-30 08:04:28,,"Ready to defend the environment and the beauty of our land. While the left talks about ideological manifestos, we will address environmental protection in a serious, coherent, free and innovative way, without prejudice towards economic development and new technologies. Starting with the defense of the natural asset par excellence: water."
159,2022-08-29 18:30:53,,Special welcomes
160,2022-08-29 18:04:45,catania,Thank you #Catania!
161,2022-08-29 16:59:30,,Catania now! You can follow the live broadcast on my Facebook page.
162,2022-08-29 08:53:05,,"Ready to protect the home of Italians. The house is the primary asset around which people build their future. Fratelli d'Italia will approve a law that will say one simple thing: the first house cannot be seized, except obviously for non-payment of any mortgage loan weighing on it and in the event of prolonged arrears towards the condominium. And we will also approve another law which provides for the immediate eviction of illegal occupations of other people's homes"
163,2022-08-28 13:15:50,,"When Luigi Di Maio and Enrico Letta throw mud at their opponents in foreign newspapers, they are not doing an injustice to the Brothers of Italy and the center-right, but to the whole of Italy. On September 25th, let's show them that this nation can still rise again, that it can still amaze the world again. Let's not give it away to people who, in order to govern, are willing to do so on the rubble."
164,2022-08-28 08:41:23,,"Ready to protect our pets. ""The civilization of a people is measured by the way in which they treat animals"" said Ghandi. Among the initiatives already launched in this legislature is the tightening of penalties for those who mistreat, poison and abandon them. We also want to launch campaigns on respect of animals in schools, stop the illegal trafficking of 300,000 puppies from Eastern Europe and expand pet therapy activities in nursing homes and hospitals."
165,2022-08-27 13:34:30,votefdi,"There are those who talk and there are those who do. There are those who depend on someone to whom they owe something, and those who depend only on the citizens with whom they have committed themselves. Fratelli d'Italia is made up of free people. We have no masters: this is why the left is afraid of us. We are ready to revive Italy. #VoteFdI"
166,2022-08-27 08:25:40,,"Ready to restore strength to the popular will. The direct election of the President of the Republic would represent the most powerful economic measure Italy needs. The current system has led us to have 11 governments in 20 years, making the nation unstable and not very credible: the one that has grown the least of all in Europe. Italians have the right to elect the Head of State and directly choose who to govern themselves by. Enough with top-down governments and enough with P's games"
167,2022-08-27 07:48:11,,Ceglie Messapica: panzerotti lesson
168,2022-08-27 05:31:16,,"Ready to protect self-employed workers. Fratelli d'Italia has always fought for the introduction of universal shock absorbers, the same for everyone. We want to establish a tool that also guarantees self-employed people, in the event of closure of their VAT number, an unemployment benefit. A tool based on the same Naspi rules as for employees. Always on the side of those who work, in whatever form they do it."
169,2022-08-26 09:42:38,,"Ready to give concrete support to families. Fratelli d'Italia proposes a paradigm shift in the tax system that takes into account the composition and characteristics of families: the so-called ""family quotient"". It is one of our legislative objectives, but we will do something with a great impact immediately: we will increase the single universal allowance by 50%, which will thus reach a maximum of 260 euros per month per child. Because children are our future and the family is the nucleus"
170,2022-08-24 08:54:47,,"Ready to restore security to our cities. Streets, squares and entire neighborhoods are completely abandoned to decay and removed from the control of the state by criminal organizations and the mafia. We need to intervene immediately: we will relaunch and strengthen the ""Safe Roads"" operation and redevelop the suburbs, because every light turned on and shutter raised are safeguards of legality. Italians also pay taxes for their security and it is the state's duty to guarantee it."
171,2022-08-23 18:48:12,ancona,Thank you #Ancona!
